timestamp,x,y,mouse_click,active_window_title
2023-10-06 11:55:17.699081,3678,773,,Anaconda Powershell Prompt
2023-10-06 11:55:17.714225,3678,773,,Anaconda Powershell Prompt
2023-10-06 11:55:17.729456,3678,773,,Anaconda Powershell Prompt
2023-10-06 11:55:17.744921,3678,773,,Anaconda Powershell Prompt
2023-10-06 11:55:17.760078,3678,773,,Anaconda Powershell Prompt
2023-10-06 11:55:17.775975,3678,773,,Anaconda Powershell Prompt
2023-10-06 11:55:17.791951,3678,773,,Anaconda Powershell Prompt
2023-10-06 11:55:17.807350,3678,773,,Anaconda Powershell Prompt
2023-10-06 11:55:17.823178,3678,773,,Anaconda Powershell Prompt
2023-10-06 11:55:17.838687,3678,773,,Anaconda Powershell Prompt
2023-10-06 11:55:17.853645,3678,773,,Anaconda Powershell Prompt
2023-10-06 11:55:17.869126,3678,773,,Anaconda Powershell Prompt
2023-10-06 11:55:17.884143,3678,773,,Anaconda Powershell Prompt
2023-10-06 11:55:17.900302,3678,773,,Anaconda Powershell Prompt
2023-10-06 11:55:17.915807,3678,773,,Anaconda Powershell Prompt
2023-10-06 11:55:17.931757,3678,773,,Anaconda Powershell Prompt
2023-10-06 11:55:17.947206,3678,773,,Anaconda Powershell Prompt
2023-10-06 11:55:17.962871,3678,773,,Anaconda Powershell Prompt
2023-10-06 11:55:17.978824,3678,773,,Anaconda Powershell Prompt
2023-10-06 11:55:17.993939,3678,773,,Anaconda Powershell Prompt
2023-10-06 11:55:18.009312,3678,773,,Anaconda Powershell Prompt
2023-10-06 11:55:18.025240,3678,773,,Anaconda Powershell Prompt
2023-10-06 11:55:18.040837,3678,773,,Anaconda Powershell Prompt
2023-10-06 11:55:18.056254,3678,773,,Anaconda Powershell Prompt
2023-10-06 11:55:18.071977,3678,773,,Anaconda Powershell Prompt
2023-10-06 11:55:18.087478,3678,773,,Anaconda Powershell Prompt
2023-10-06 11:55:18.102570,3678,773,,Anaconda Powershell Prompt
2023-10-06 11:55:18.118255,3678,773,,Anaconda Powershell Prompt
2023-10-06 11:55:18.134262,3678,773,,Anaconda Powershell Prompt
2023-10-06 11:55:18.149615,3678,773,,Anaconda Powershell Prompt
2023-10-06 11:55:18.164619,3678,773,,Anaconda Powershell Prompt
2023-10-06 11:55:18.180217,3678,773,,Anaconda Powershell Prompt
2023-10-06 11:55:18.195324,3678,773,,Anaconda Powershell Prompt
2023-10-06 11:55:18.210491,3678,773,,Anaconda Powershell Prompt
2023-10-06 11:55:18.225791,3678,773,,Anaconda Powershell Prompt
2023-10-06 11:55:18.241763,3678,773,,Anaconda Powershell Prompt
2023-10-06 11:55:18.257202,3678,773,,Anaconda Powershell Prompt
2023-10-06 11:55:18.272324,3678,773,,Anaconda Powershell Prompt
2023-10-06 11:55:18.287934,3678,773,,Anaconda Powershell Prompt
2023-10-06 11:55:18.302912,3678,773,,Anaconda Powershell Prompt
2023-10-06 11:55:18.318973,3678,773,,Anaconda Powershell Prompt
2023-10-06 11:55:18.334573,3678,773,,Anaconda Powershell Prompt
2023-10-06 11:55:18.350565,3678,773,,Anaconda Powershell Prompt
2023-10-06 11:55:18.365760,3678,773,,Anaconda Powershell Prompt
2023-10-06 11:55:18.380922,3678,773,,Anaconda Powershell Prompt
2023-10-06 11:55:18.396631,3678,773,,Anaconda Powershell Prompt
2023-10-06 11:55:18.412089,3678,773,,Anaconda Powershell Prompt
2023-10-06 11:55:18.427867,3678,773,,Anaconda Powershell Prompt
2023-10-06 11:55:18.443553,3678,773,,Anaconda Powershell Prompt
2023-10-06 11:55:18.459671,3675,773,,Anaconda Powershell Prompt
2023-10-06 11:55:18.475112,3663,769,,Anaconda Powershell Prompt
2023-10-06 11:55:18.490391,3653,766,,Anaconda Powershell Prompt
2023-10-06 11:55:18.505370,3630,755,,Anaconda Powershell Prompt
2023-10-06 11:55:18.521466,3603,744,,Anaconda Powershell Prompt
2023-10-06 11:55:18.536469,3564,725,,Anaconda Powershell Prompt
2023-10-06 11:55:18.552337,3504,698,,Anaconda Powershell Prompt
2023-10-06 11:55:18.567625,3424,668,,Anaconda Powershell Prompt
2023-10-06 11:55:18.582777,3338,636,,Anaconda Powershell Prompt
2023-10-06 11:55:18.598127,3266,615,,Anaconda Powershell Prompt
2023-10-06 11:55:18.613599,3170,595,,Anaconda Powershell Prompt
2023-10-06 11:55:18.629666,3061,584,,Anaconda Powershell Prompt
